si_no,name,project_id,po_number,product_name,price,quantity,total_price,po_date,delivery_date,remarks
51,Guri Industries,AB73,PO-HNV/2627/0011,LB1_V2_Y BASE PLATE​,8775,3,26325,07-04-2026,07-04-2026,
52,,,,LB1_V2_Y_AXIS_MOTOR_MOUNT​,3375,3,10125,,,
53,,,,LX3 Y LM BLOCK PLATE TOP​,1573,3,4719,,,
54,VML Technology,UHM01,PO-HNV/2627/0014,C2 Charger  Base As machined,140,1000,140000,08-04-2026,20-04-2026,
55,S N TECHONOLEGIES,UHM01,PO-HNV/2627/0015,C2 Charger  Base As machined,140,1000,140000,08-04-2026,20-04-2026,
56,AXIS TECHNOLOGIES,UHM01,PO-HNV/2627/0016,C2 Charger  Base As machined,140,2000,280000,08-04-2026,20-04-2026,
57,Bhairaveshwara technology,UHM01,PO-HNV/2627/0017,C2 Charger  Base As machined,140,1000,140000,08-04-2026,20-04-2026,
58,Super Mill Technology,UHM01,PO-HNV/2627/0018,C2 Charger  Base As machined,140,2000,280000,08-04-2026,20-04-2026,
59,Guri Industries,NB19,PO-HNV/2627/0019,130466-001   Machining as per drawing with material.,263,19,4997,08-04-2026,25-04-2026,"1. Material Tc, inspection report and BD required at the time of dispatch.
2.Export item need good finish.
3.Oiling required at the time of dispatch.(rust not accepted )."
60,,,,130466-002 Machining as per drawing with material.,263,238,62594,,,
61,SHREE RAGHAVENDRA CNC TECH,NB19,PO-HNV/2627/0020,130317-001 Only turning jobwork as per drawing,125,831,103875,08-04-2026,25-04-2026,"1. Material Tc. inspection report and BD required at the time of dispatch.
2.Route card required along with parts."
62,,,,"P-0000023211-1  Only Turning with material ,as per drawing.",58,305,17690,,,
63,SS TECHNILOGIES,AV59,PO-HNV/2627/0021,5A25W56A001029  machining with material as per drawing,450,8,3600,08-04-2026,08-04-2026,
64,,,,5A2AW57A001010.01    machining with material as per drawing,500,64,32000,,,
65,,,,SACB 60-200-006,1500,1,1500,,,
66,G1 Group,AV63,PO-HNV/2627/0022,A007-100-61014B Machining with material as per drawing.,1000,40,40000,08-04-2026,25-04-2026,
67,G1 Group,AM100M,PO-HNV/2627/0023,15-00794 Job work machining as per drawing,268,50,13400,08-04-2026,0226-04-10,"1.Uniform polish required both side of the parts.
2.Inspection report required at the time of dispatch."
68,,,,15-00796 Job work machining as per drawing.,760,30,22800,,,
69,AXIS TECHNOLOGIES,AT201,PO-HNV/2627/0026,Slot Heat sink Revision 1   Machining with material as per drawing.,3800,50,190000,08-04-2026,09-04-2026,
70,SS TECHNILOGIES,AV63,PO-HNV/2627/0029,031998-M100-010A - Machining with material as per drawing .,280,86,24080,09-04-2026,13-04-2026,1. Inspection report & BD required at the time of dispatch.
71,,,,A007-100-62117C   Machining with material as per drawing.,1600,24,38400,,,
72,SHREE RAGHAVENDRA CNC TECH,SK08,PO-HNV/2627/0030,12678-SK RING- Jobwork machining as per drawing.,130,203,26390,09-04-2026,09-04-2026,"1.Inspection report & BD required at the time of dispatch.
2.Oiling required at the process and dispatch."
73,,,,12680-SK RING-Jobwork machining as per drawing.,110,222,24420,,,
74,SRI RAGHAVENDRA TECHNO SOLUTIONS,VMM08,PO-HNV/2627/0028,Flange bushing- Machining with material as per drawing.,60,100,6000,09-04-2026,14-04-2026,1.Inspection report and material Tc required at the time of dispatch.
75,Guri Industries,RD01,PO-HNV/2627/0033,891-00857 Machining with material asper drawing.,3350,2,6700,10-04-2026,10-04-2026,1. Inspection report and BD required at the time dispatch.
76,Alcon technologies,UHM01,PO-HNV/2627/0036,C2 Charger  Base As machined,140,2000,280000,10-04-2026,14-04-2026,
77,SEE YES MICRO METHODS,AM86,PO-HNV/2627/0037,CHAMBER - STUBBY FOR 270 & 273 SERIES    Job work Milling,480,190,91200,13-04-2026,14-04-2026,1.inspection report required at the time of dispatch.
